r,M,ratio,rho,beta,Phi
1,3490,0.861516,0.00696,15.853,0.2567
2,3737,0.922488,0.00203829,54.401,0.6842
3,3729,0.920513,0.00295878,37.442,1.0592
4,3928,0.969637,0.00108898,101.921,1.5759
5,3965,0.978771,0.00130687,84.910,2.0665
6,3970,0.980005,0.000726642,152.799,2.6411
7,3990,0.984942,0.00114921,96.574,3.1501
8,4010,0.989879,0.000906162,122.506,3.6931
9,4025,0.993582,0.000417777,265.847,4.3472
10,4022,0.992841,0.0006565,169.137,4.9363
11,4025,0.993582,0.000548616,202.419,5.5512
12,4012,0.990373,0.000742267,149.580,6.1228
13,3999,0.987164,0.000810785,136.930,6.6817
14,3974,0.980992,0.00377743,29.303,7.0224
15,4007,0.989138,0.000545217,203.682,7.6382
16,3999,0.987164,0.000673093,164.964,8.2238
17,4001,0.987657,0.000668238,166.164,8.8104
18,3994,0.985929,0.000762713,145.568,9.3781
19,4001,0.987657,0.000745462,148.939,9.9490
20,3990,0.984942,0.00107644,103.110,10.4673
21,3988,0.984448,0.00238315,46.512,10.8727
22,4007,0.989138,0.000664086,167.203,11.4602
23,4000,0.987411,0.000828224,134.045,12.0161
24,3982,0.982967,0.00215495,51.450,12.4357
25,3972,0.980499,0.000949251,116.940,12.9720
26,3980,0.982473,0.000921892,120.414,13.5125
27,3986,0.983955,0.000879284,126.254,14.0598
28,3981,0.982720,0.0020727,53.496,14.4850
29,3975,0.981239,0.00092703,119.746,15.0247
30,3988,0.984448,0.00100213,110.764,15.5532
31,3984,0.983461,0.000870573,127.519,16.1020
32,3963,0.978277,0.00198152,55.963,16.5335
33,3978,0.981980,0.000945971,117.346,17.0703
34,3984,0.983461,0.000882354,125.815,17.6171
35,3987,0.984201,0.000884565,125.500,18.1635
36,3994,0.985929,0.0016648,66.630,18.6197
37,3992,0.985436,0.000815748,136.097,19.1777
38,4004,0.988398,0.000648657,171.183,19.7686
39,4010,0.989879,0.000666265,166.656,20.3556
