r,M,ratio,rho,beta,Phi
1,3490,0.861516,0.00696,2.000,0.0900
2,3612,0.891632,0.00438647,2.000,0.1837
3,3652,0.901506,0.00565566,2.000,0.2755
4,3743,0.923969,0.00504475,2.000,0.3683
5,3765,0.929400,0.00395998,2.000,0.4626
6,3827,0.944705,0.00239994,2.000,0.5591
7,3837,0.947174,0.00353442,2.000,0.6540
8,3870,0.955320,0.00237995,2.000,0.7506
9,3919,0.967415,0.00253761,2.000,0.8469
10,3918,0.967169,0.0015403,2.000,0.9447
11,3946,0.974080,0.00144554,2.000,1.0426
12,3952,0.975562,0.00283021,2.000,1.1386
13,3988,0.984448,0.00143747,2.000,1.2365
14,3983,0.983214,0.0017866,2.000,1.3339
15,3998,0.986917,0.000462331,2.000,1.4333
16,4004,0.988398,0.00105122,2.000,1.5317
17,4006,0.988892,0.000784011,2.000,1.6306
18,4012,0.990373,0.00165066,2.000,1.7282
19,4010,0.989879,0.000795426,2.000,1.8271
20,4018,0.991854,0.00541049,2.000,1.9193
21,4016,0.991360,0.000587214,2.000,2.0184
22,4022,0.992841,0.000833525,2.000,2.1172
23,4033,0.995557,0.000451353,2.000,2.2166
24,4034,0.995804,0.000821129,2.000,2.3154
25,4036,0.996297,0.000732751,2.000,2.4144
26,4040,0.997285,0.000285536,2.000,2.5139
27,4039,0.997038,0.000641565,2.000,2.6130
28,4037,0.996544,0.000325755,2.000,2.7125
29,4045,0.998519,0.000667298,2.000,2.8116
30,4043,0.998025,0.000572797,2.000,2.9108
31,4046,0.998766,0.000454968,2.000,3.0101
32,4040,0.997285,0.000487646,2.000,3.1094
33,4047,0.999013,0.000466748,2.000,3.2087
34,4048,0.999259,0.000205574,2.000,3.3084
35,4047,0.999013,0.000488958,2.000,3.4077
36,4050,0.999753,0.000442755,2.000,3.5071
37,4045,0.998519,0.000334732,2.000,3.6066
38,4044,0.998272,0.000239014,2.000,3.7063
39,4049,0.999506,0.000431997,2.000,3.8056
40,4043,0.998025,0.000253841,2.000,3.9053
41,4044,0.998272,0.000278124,2.000,4.0049
42,4048,0.999259,0.000296771,2.000,4.1044
43,4050,0.999753,0.000183438,2.000,4.2042
44,4050,0.999753,0.000216155,2.000,4.3039
45,4049,0.999506,0.000242303,2.000,4.4035
46,4049,0.999506,0.00030491,2.000,4.5031
47,4049,0.999506,0.000201965,2.000,4.6028
48,4048,0.999259,0.000358976,2.000,4.7023
49,4049,0.999506,0.000183161,2.000,4.8020
50,4051,1.000000,0.000167244,2.000,4.9018
51,4051,1.000000,0.000169085,2.000,5.0015
52,4050,0.999753,0.000243777,2.000,5.1012
53,4050,0.999753,0.000255857,2.000,5.2008
54,4050,0.999753,0.000407026,2.000,5.3002
55,4048,0.999259,0.000229559,2.000,5.3999
56,4051,1.000000,0.000166065,2.000,5.4996
57,4048,0.999259,0.000219207,2.000,5.5993
58,4045,0.998519,0.000318947,2.000,5.6989
59,4050,0.999753,0.000168745,2.000,5.7986
60,4051,1.000000,0.000265659,2.000,5.8982
61,4049,0.999506,0.000356914,2.000,5.9977
62,4051,1.000000,0.000293441,2.000,6.0973
63,4051,1.000000,0.000198364,2.000,6.1970
64,4050,0.999753,0.000121043,2.000,6.2968
65,4051,1.000000,0.000142441,2.000,6.3966
66,4050,0.999753,0.000138697,2.000,6.4964
