r,M,ratio,rho,beta,Phi
1,556,0.278000,0.00225434,2.000,0.0968
2,745,0.372500,0.0036387,2.000,0.1915
3,1052,0.526000,0.00456448,2.000,0.2849
4,1403,0.701500,0.00336493,2.000,0.3801
5,1677,0.838500,0.0019586,2.000,0.4773
6,1819,0.909500,0.00120176,2.000,0.5755
7,1874,0.937000,0.000939376,2.000,0.6742
8,1928,0.964000,0.000601127,2.000,0.7733
9,1941,0.970500,0.000582375,2.000,0.8725
10,1959,0.979500,0.000434996,2.000,0.9719
11,1951,0.975500,0.000551163,2.000,1.0711
12,1961,0.980500,0.000477412,2.000,1.1704
13,1976,0.988000,0.000287534,2.000,1.2700
14,1977,0.988500,0.000275219,2.000,1.3696
15,1971,0.985500,0.000354629,2.000,1.4690
16,1966,0.983000,0.000409513,2.000,1.5685
17,1968,0.984000,0.000384907,2.000,1.6679
18,1973,0.986500,0.000329793,2.000,1.7674
19,1978,0.989000,0.000268632,2.000,1.8670
20,1965,0.982500,0.000427254,2.000,1.9664
21,1964,0.982000,0.000439273,2.000,2.0658
22,1967,0.983500,0.000402491,2.000,2.1652
23,1972,0.986000,0.00034137,2.000,2.2647
24,1973,0.986500,0.000329066,2.000,2.3642
25,1969,0.984500,0.000377692,2.000,2.4637
26,1971,0.985500,0.000353191,2.000,2.5632
27,1976,0.988000,0.000292193,2.000,2.6628
28,1971,0.985500,0.000352963,2.000,2.7623
29,1966,0.983000,0.000413673,2.000,2.8617
30,1975,0.987500,0.000304046,2.000,2.9612
31,1978,0.989000,0.000267479,2.000,3.0608
32,1979,0.989500,0.000255252,2.000,3.1605
33,1980,0.990000,0.000243036,2.000,3.2601
34,1978,0.989000,0.000267274,2.000,3.3597
35,1977,0.988500,0.000279348,2.000,3.4593
36,1977,0.988500,0.00027927,2.000,3.5589
37,1973,0.986500,0.000327747,2.000,3.6584
38,1978,0.989000,0.000266966,2.000,3.7581
39,1974,0.987000,0.000315421,2.000,3.8576
40,1977,0.988500,0.000278938,2.000,3.9572
41,1974,0.987000,0.000315234,2.000,4.0568
42,1987,0.993500,0.000157567,2.000,4.1565
43,1983,0.991500,0.000206017,2.000,4.2562
44,1986,0.993000,0.000169626,2.000,4.3560
45,1984,0.992000,0.000193825,2.000,4.4557
46,1984,0.992000,0.000193788,2.000,4.5554
47,1986,0.993000,0.000169532,2.000,4.6552
48,1970,0.985000,0.00036322,2.000,4.7547
49,1976,0.988000,0.000290471,2.000,4.8542
50,1986,0.993000,0.000169392,2.000,4.9540
51,1984,0.992000,0.000193558,2.000,5.0537
52,1981,0.990500,0.000229806,2.000,5.1534
53,1981,0.990500,0.000229753,2.000,5.2530
54,1981,0.990500,0.0002297,2.000,5.3527
55,1986,0.993000,0.000169214,2.000,5.4525
56,1982,0.991000,0.000217524,2.000,5.5522
57,1990,0.995000,0.00012082,2.000,5.6520
58,1988,0.994000,0.000144967,2.000,5.7518
59,1988,0.994000,0.000144946,2.000,5.8516
60,1993,0.996500,8.45395e-05,2.000,5.9514
61,1989,0.994500,0.000132837,2.000,6.0513
62,1990,0.995000,0.000120745,2.000,6.1511
63,1988,0.994000,0.000144876,2.000,6.2509
64,1990,0.995000,0.000120712,2.000,6.3507
65,1994,0.997000,7.24187e-05,2.000,6.4506
66,1993,0.996500,8.44824e-05,2.000,6.5505
67,1992,0.996000,9.65432e-05,2.000,6.6503
68,1991,0.995500,0.000108601,2.000,6.7502
69,1993,0.996500,8.44579e-05,2.000,6.8501
70,1994,0.997000,7.23864e-05,2.000,6.9499
71,1993,0.996500,8.44447e-05,2.000,7.0498
72,1991,0.995500,0.000108563,2.000,7.1497
73,1995,0.997500,6.0306e-05,2.000,7.2496
74,1994,0.997000,7.23628e-05,2.000,7.3495
75,1990,0.995000,0.000120596,2.000,7.4493
76,1990,0.995000,0.000120581,2.000,7.5491
77,1990,0.995000,0.000120567,2.000,7.6490
78,1994,0.997000,7.23314e-05,2.000,7.7489
79,1992,0.996000,9.64349e-05,2.000,7.8487
80,1992,0.996000,9.64256e-05,2.000,7.9486
81,1990,0.995000,0.00012052,2.000,8.0484
82,1997,0.998500,3.61518e-05,2.000,8.1483
83,1995,0.997500,6.02508e-05,2.000,8.2483
84,1997,0.998500,3.61483e-05,2.000,8.3482
85,1998,0.999000,2.4098e-05,2.000,8.4482
86,1993,0.996500,8.43409e-05,2.000,8.5481
87,1998,0.999000,2.40954e-05,2.000,8.6480
88,1998,0.999000,2.40948e-05,2.000,8.7480
89,1996,0.998000,4.81884e-05,2.000,8.8479
90,1994,0.997000,7.22791e-05,2.000,8.9478
91,1995,0.997500,6.02283e-05,2.000,9.0477
92,1996,0.998000,4.81797e-05,2.000,9.1477
93,1999,0.999500,1.20443e-05,2.000,9.2476
94,1992,0.996000,9.63536e-05,2.000,9.3475
95,1997,0.998500,3.61291e-05,2.000,9.4474
96,1997,0.998500,3.61278e-05,2.000,9.5474
97,2000,1.000000,0,0.000,9.5474
