instance             eps | rule     | qualIt qualPas  certIt  best/mu peakSamp | beta trace (first 8)
hiddenPM n=2000     0.10 | fixed-2  |      6      19      97   1.0000    80306 | 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 
hiddenPM n=2000     0.10 | adaptive |      2       7       5   1.0000    79752 | 49.2 481.0 1024.0 1024.0 0.0 
hiddenPM n=2000     0.05 | fixed-2  |      6      19     151   1.0000   160649 | 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 
hiddenPM n=2000     0.05 | adaptive |      3      10       6   1.0000   159746 | 27.8 109.3 510.4 1024.0 1024.0 0.0 
hiddenPM n=4000     0.10 | fixed-2  |      8      25      20   1.0000   160447 | 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 
hiddenPM n=4000     0.10 | adaptive |      2       7       5   1.0000   160348 | 70.2 929.4 1024.0 1024.0 0.0 
hiddenPM n=4000     0.05 | fixed-2  |      9      28      20   1.0000   320175 | 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 
hiddenPM n=4000     0.05 | adaptive |      3      10       6   1.0000   319652 | 36.9 221.7 1024.0 1024.0 1024.0 0.0 
RMAT-12 m=1M        0.10 | fixed-2  |      3      10     127   1.0000   164355 | 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 
RMAT-12 m=1M        0.10 | adaptive |      2       7      39   0.9936   163579 | 15.9 54.4 37.4 101.9 84.9 152.8 96.6 122.5 
RMAT-12 m=1M        0.05 | fixed-2  |      1       4      80   1.0000   328989 | 2.0 2.0 2.0 2.0 2.0 2.0 2.0 2.0 
RMAT-12 m=1M        0.05 | adaptive |      1       4      65   0.9993   328599 | 33.7 46.0 30.9 72.4 207.3 92.6 140.3 24.1 
ER n=2000 d=400     0.10 | fixed-2  |      1       4       1   1.0000    80065 | 0.0 
ER n=2000 d=400     0.10 | adaptive |      1       4       1   1.0000    80065 | 0.0 
ER n=2000 d=400     0.05 | fixed-2  |      1       4       1   1.0000   160436 | 0.0 
ER n=2000 d=400     0.05 | adaptive |      1       4       1   1.0000   160436 | 0.0 
