instance,m,mu,eps,rule,seed,qualIter,qualPasses,certIter,certType,peakSamp,ratio
hiddenPM-2000,639042,2000,0.20,fixed2,0,6,19,77,R,40162,1.000000
hiddenPM-2000,639042,2000,0.20,fixed2,1,6,19,67,R,40253,1.000000
hiddenPM-2000,639042,2000,0.20,fixed2,2,6,19,72,R,40150,1.000000
hiddenPM-2000,639042,2000,0.20,fixed2,3,6,19,70,R,40262,1.000000
hiddenPM-2000,639042,2000,0.20,fixed2,4,6,19,69,R,40391,1.000000
hiddenPM-2000,639042,2000,0.20,adaptive,0,2,7,4,R,39593,1.000000
hiddenPM-2000,639042,2000,0.20,adaptive,1,2,7,5,R,40048,1.000000
hiddenPM-2000,639042,2000,0.20,adaptive,2,2,7,5,R,39867,1.000000
hiddenPM-2000,639042,2000,0.20,adaptive,3,2,7,4,R,39717,1.000000
hiddenPM-2000,639042,2000,0.20,adaptive,4,2,7,4,R,39626,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,0,6,19,98,R,80407,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,1,6,19,-1,-,80457,0.999500
hiddenPM-2000,639042,2000,0.10,fixed2,2,6,19,95,R,80358,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,3,6,19,-1,-,80560,0.998500
hiddenPM-2000,639042,2000,0.10,fixed2,4,6,19,-1,-,80329,0.998500
hiddenPM-2000,639042,2000,0.10,adaptive,0,2,7,5,R,79377,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,1,2,7,5,R,79778,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,2,2,7,5,R,79706,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,3,2,7,5,R,79541,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,4,2,7,5,R,79842,1.000000
hiddenPM-4000,1905460,4000,0.20,fixed2,0,7,22,22,R,80272,1.000000
hiddenPM-4000,1905460,4000,0.20,fixed2,1,8,25,21,R,80417,1.000000
hiddenPM-4000,1905460,4000,0.20,fixed2,2,7,22,26,R,80179,1.000000
hiddenPM-4000,1905460,4000,0.20,fixed2,3,7,22,20,R,80003,1.000000
hiddenPM-4000,1905460,4000,0.20,fixed2,4,8,25,22,R,80750,1.000000
hiddenPM-4000,1905460,4000,0.20,adaptive,0,2,7,4,R,79774,1.000000
hiddenPM-4000,1905460,4000,0.20,adaptive,1,2,7,4,R,80417,1.000000
hiddenPM-4000,1905460,4000,0.20,adaptive,2,2,7,4,R,79669,1.000000
hiddenPM-4000,1905460,4000,0.20,adaptive,3,2,7,4,R,79876,1.000000
hiddenPM-4000,1905460,4000,0.20,adaptive,4,2,7,4,R,80171,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,0,8,25,20,R,160515,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,1,8,25,18,R,160596,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,2,8,25,20,R,160262,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,3,8,25,23,R,160081,1.000000
hiddenPM-4000,1905460,4000,0.10,fixed2,4,8,25,21,R,160549,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,0,2,7,5,R,160323,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,1,2,7,5,R,160596,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,2,2,7,4,R,159224,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,3,2,7,5,R,160081,1.000000
hiddenPM-4000,1905460,4000,0.10,adaptive,4,2,7,4,R,160241,1.000000
RMAT-12-1M,1000000,4047,0.20,fixed2,0,3,10,-1,-,82354,0.999753
RMAT-12-1M,1000000,4047,0.20,fixed2,1,3,10,-1,-,82351,1.000000
RMAT-12-1M,1000000,4047,0.20,fixed2,2,3,10,-1,-,82417,1.000000
RMAT-12-1M,1000000,4047,0.20,fixed2,3,3,10,-1,-,82354,1.000000
RMAT-12-1M,1000000,4047,0.20,fixed2,4,3,10,-1,-,82574,1.000000
RMAT-12-1M,1000000,4047,0.20,adaptive,0,2,7,23,P,82354,0.984433
RMAT-12-1M,1000000,4047,0.20,adaptive,1,2,7,22,P,81638,0.984927
RMAT-12-1M,1000000,4047,0.20,adaptive,2,2,7,23,P,82197,0.983445
RMAT-12-1M,1000000,4047,0.20,adaptive,3,2,7,23,P,82354,0.983445
RMAT-12-1M,1000000,4047,0.20,adaptive,4,2,7,23,P,81837,0.983445
RMAT-12-1M,1000000,4047,0.10,fixed2,0,3,10,-1,-,164466,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,1,3,10,-1,-,164312,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,2,3,10,-1,-,164313,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,3,3,10,-1,-,164478,1.000000
RMAT-12-1M,1000000,4047,0.10,fixed2,4,4,13,-1,-,164262,1.000000
RMAT-12-1M,1000000,4047,0.10,adaptive,0,3,10,38,P,164449,0.995552
RMAT-12-1M,1000000,4047,0.10,adaptive,1,2,7,39,P,163018,0.995058
RMAT-12-1M,1000000,4047,0.10,adaptive,2,2,7,39,P,163963,0.993328
