instance,m,mu,eps,rule,seed,qualIter,qualPasses,certIter,certType,peakSamp,ratio
hiddenPM-2000,639042,2000,0.10,fixed2,0,6,19,98,R,80407,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,1,6,19,105,R,80457,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,2,6,19,95,R,80358,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,3,6,19,107,R,80560,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,4,6,19,119,R,80329,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,5,6,19,117,R,80308,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,6,6,19,122,R,80427,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,7,6,19,121,R,80289,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,8,7,22,115,R,80471,1.000000
hiddenPM-2000,639042,2000,0.10,fixed2,9,6,19,121,R,80438,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,0,2,7,5,R,79377,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,1,2,7,5,R,79778,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,2,2,7,5,R,79706,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,3,2,7,5,R,79541,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,4,2,7,5,R,79842,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,5,2,7,5,R,80282,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,6,2,7,5,R,80427,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,7,2,7,5,R,80289,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,8,2,7,5,R,80205,1.000000
hiddenPM-2000,639042,2000,0.10,adaptive,9,2,7,5,R,80113,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,0,6,19,148,R,160764,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,1,6,19,152,R,160729,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,2,6,19,163,R,160614,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,3,6,19,191,R,160737,1.000000
hiddenPM-2000,639042,2000,0.05,fixed2,4,6,19,182,R,160412,1.000000
